/Users/zachvp/Music/DJ/Pete Seeger - 203 The Pill.aiff	/Users/zachvp/Music/conversion output/re-encoded/Pete Seeger - 203 The Pill.aiff	0.01
/Users/zachvp/Music/DJ/13481294_Wa_(Martin_Buttrich_Remix).aiff	/Users/zachvp/Music/conversion output/re-encoded/13481294_Wa_(Martin_Buttrich_Remix).aiff	-1.3
/Users/zachvp/Music/DJ/505859_Climbing_Up_The_Walls_(Original_Mix).aiff	/Users/zachvp/Music/conversion output/re-encoded/505859_Climbing_Up_The_Walls_(Original_Mix).aiff	-1.11
/Users/zachvp/Music/DJ/moonbooter - Still Alive - 08 Automode.aiff	/Users/zachvp/Music/conversion output/re-encoded/moonbooter - Still Alive - 08 Automode.aiff	-0.84
/Users/zachvp/Music/DJ/Nickodemus - Mariposa (Original Mix).aiff	/Users/zachvp/Music/conversion output/re-encoded/Nickodemus - Mariposa (Original Mix).aiff	-0.42
/Users/zachvp/Music/DJ/tool-placeholder.aiff	/Users/zachvp/Music/conversion output/re-encoded/tool-placeholder.aiff	0.01
/Users/zachvp/Music/DJ/Mella Dee - Ridgewood.aiff	/Users/zachvp/Music/conversion output/re-encoded/Mella Dee - Ridgewood.aiff	0.03
/Users/zachvp/Music/DJ/Koletzki & Schwind, Niko Schwind, Oliver Ko.aiff	/Users/zachvp/Music/conversion output/re-encoded/Koletzki & Schwind, Niko Schwind, Oliver Ko.aiff	-0.47
/Users/zachvp/Music/DJ/RR - Bonsai.aiff	/Users/zachvp/Music/conversion output/re-encoded/RR - Bonsai.aiff	0.02
/Users/zachvp/Music/DJ/11262168_Vigna_(Original).aiff	/Users/zachvp/Music/conversion output/re-encoded/11262168_Vigna_(Original).aiff	-0.46
/Users/zachvp/Music/DJ/Watch Them Come!!! (Jazzanova REmixx).aiff	/Users/zachvp/Music/conversion output/re-encoded/Watch Them Come!!! (Jazzanova REmixx).aiff	0.03
/Users/zachvp/Music/DJ/Professor Creepshow - Dreamcast - 05 Endless Citypop.aiff	/Users/zachvp/Music/conversion output/re-encoded/Professor Creepshow - Dreamcast - 05 Endless Citypop.aiff	-0.26
/Users/zachvp/Music/DJ/12 On & On.aif	/Users/zachvp/Music/conversion output/re-encoded/12 On & On.aif	-0.8
/Users/zachvp/Music/DJ/1871326_Let_The_World_Hurry_By_(Original_Mix).aiff	/Users/zachvp/Music/conversion output/re-encoded/1871326_Let_The_World_Hurry_By_(Original_Mix).aiff	-0.32
/Users/zachvp/Music/DJ/Henrik Schwarz - 99- - 03 Pylon (Instrumental).aiff	/Users/zachvp/Music/conversion output/re-encoded/Henrik Schwarz - 99- - 03 Pylon (Instrumental).aiff	0.02
/Users/zachvp/Music/DJ/Eddie Hale - Enigma (Original Mix).aiff	/Users/zachvp/Music/conversion output/re-encoded/Eddie Hale - Enigma (Original Mix).aiff	-0.11
/Users/zachvp/Music/DJ/09 Big Love (Dim's Love Train Re-Edit).aiff	/Users/zachvp/Music/conversion output/re-encoded/09 Big Love (Dim's Love Train Re-Edit).aiff	-0.63
/Users/zachvp/Music/DJ/5380604_Mystericordia_(Rodriguez_Jr._Remix).aiff	/Users/zachvp/Music/conversion output/re-encoded/5380604_Mystericordia_(Rodriguez_Jr._Remix).aiff	-0.73
/Users/zachvp/Music/DJ/Small Creatures - Black Rose (Jon Dixon Remix).aiff	/Users/zachvp/Music/conversion output/re-encoded/Small Creatures - Black Rose (Jon Dixon Remix).aiff	0.03
/Users/zachvp/Music/DJ/The System ‎- You're In My System (Kerri Chandler Remix).aiff	/Users/zachvp/Music/conversion output/re-encoded/The System ‎- You're In My System (Kerri Chandler Remix).aiff	-0.32
/Users/zachvp/Music/DJ/12 Headspin.aiff	/Users/zachvp/Music/conversion output/re-encoded/12 Headspin.aiff	-0.43
/Users/zachvp/Music/DJ/Gary Beck - Just One More (Original Mix).aiff	/Users/zachvp/Music/conversion output/re-encoded/Gary Beck - Just One More (Original Mix).aiff	-0.14
/Users/zachvp/Music/DJ/4301314_Mind_On_Fire_(Original_Mix).aiff	/Users/zachvp/Music/conversion output/re-encoded/4301314_Mind_On_Fire_(Original_Mix).aiff	-0.23
/Users/zachvp/Music/DJ/Faithless - Not Going Home (Eric Prydz Remi.aiff	/Users/zachvp/Music/conversion output/re-encoded/Faithless - Not Going Home (Eric Prydz Remi.aiff	-0.12
/Users/zachvp/Music/DJ/11 Lady Falkor.aiff	/Users/zachvp/Music/conversion output/re-encoded/11 Lady Falkor.aiff	-0.99
/Users/zachvp/Music/DJ/Alejandro Mosso - mosso012 - 02 Tetrose.aiff	/Users/zachvp/Music/conversion output/re-encoded/Alejandro Mosso - mosso012 - 02 Tetrose.aiff	0.02
/Users/zachvp/Music/DJ/13469220_Helios_(Original_Mix).aiff	/Users/zachvp/Music/conversion output/re-encoded/13469220_Helios_(Original_Mix).aiff	-0.19
/Users/zachvp/Music/DJ/Fred P - In The Flow.aiff	/Users/zachvp/Music/conversion output/re-encoded/Fred P - In The Flow.aiff	-0.89
/Users/zachvp/Music/DJ/Ali Love, Kali - Emperor feat. Kali (Dub).aiff	/Users/zachvp/Music/conversion output/re-encoded/Ali Love, Kali - Emperor feat. Kali (Dub).aiff	-0.28
/Users/zachvp/Music/DJ/12592242_Cristina_Work_(Original_Mix).aiff	/Users/zachvp/Music/conversion output/re-encoded/12592242_Cristina_Work_(Original_Mix).aiff	-0.51
/Users/zachvp/Music/DJ/6329112_Intro_(Original_Mix).aiff	/Users/zachvp/Music/conversion output/re-encoded/6329112_Intro_(Original_Mix).aiff	-0.54
/Users/zachvp/Music/DJ/17297085_Eyes_Contact_(Original_Mix).aiff	/Users/zachvp/Music/conversion output/re-encoded/17297085_Eyes_Contact_(Original_Mix).aiff	-1.44
/Users/zachvp/Music/DJ/Manuel-M - Enma.aiff	/Users/zachvp/Music/conversion output/re-encoded/Manuel-M - Enma.aiff	-0.55
/Users/zachvp/Music/DJ/12501269_Call_You_Back_(Original_Mix).aiff	/Users/zachvp/Music/conversion output/re-encoded/12501269_Call_You_Back_(Original_Mix).aiff	-1.01
/Users/zachvp/Music/DJ/10 Racing Thru Time.aif	/Users/zachvp/Music/conversion output/re-encoded/10 Racing Thru Time.aif	-0.81
/Users/zachvp/Music/DJ/Professor Creepshow - Dreamcast - 12 Album Oriented.aiff	/Users/zachvp/Music/conversion output/re-encoded/Professor Creepshow - Dreamcast - 12 Album Oriented.aiff	-0.27
/Users/zachvp/Music/DJ/Dean Street Crew feat. Sweet Pussy Pauline - DJ-Kicks (Seth Troxler) - 15 The Credit Card (Original Tribe Mix).aiff	/Users/zachvp/Music/conversion output/re-encoded/Dean Street Crew feat. Sweet Pussy Pauline - DJ-Kicks (Seth Troxler) - 15 The Credit Card (Original Tribe Mix).aiff	-1.08
/Users/zachvp/Music/DJ/11149788_Fame_Award_(Rock_&_Roll_Mix).aiff	/Users/zachvp/Music/conversion output/re-encoded/11149788_Fame_Award_(Rock_&_Roll_Mix).aiff	-2.42
/Users/zachvp/Music/DJ/Radiohead - KID A MNESIA - 03 The National Anthem.aiff	/Users/zachvp/Music/conversion output/re-encoded/Radiohead - KID A MNESIA - 03 The National Anthem.aiff	-0.62
/Users/zachvp/Music/DJ/Group Du Jour - The Perfect Triangle (1985 version).aiff	/Users/zachvp/Music/conversion output/re-encoded/Group Du Jour - The Perfect Triangle (1985 version).aiff	-0.23
